"student_id","year","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37","I38","I39","I40","I41","I42","I43","I44","I45","I46","I47","I48","I49","I50","I51"
36,3,3,3,1,2,2,2,3,4,1,3,2,1,3,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
37,1,4,2,3,5,3,2,3,5,2,5,2,4,4,2,5,3,2,1,3,2,4,4,2,3,5,4,3,4,3,2,4,1,2,5,2,4,4,4,4,5,2,3,4,3,2,4,4,4,2,3,4
38,2,4,3,4,3,2,2,4,5,1,4,5,4,4,2,4,4,3,4,4,2,1,4,4,1,3,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,2,1,4,2,1,1,3,1,1
38,3,2,3,4,3,4,3,4,5,2,3,2,3,5,3,4,4,2,4,4,3,2,2,3,2,2,2,1,2,2,2,1,1,2,1,1,3,2,1,2,1,1,1,3,3,2,4,1,2,1,2,1
39,2,4,3,3,3,3,3,NA,4,1,2,3,2,4,2,3,1,1,4,1,2,1,2,1,2,4,1,1,1,1,1,3,1,1,2,1,2,3,4,3,1,1,1,2,2,2,4,2,3,2,1,3
40,1,5,4,3,5,4,4,4,5,4,5,4,5,5,4,5,3,3,5,5,4,5,5,3,4,5,3,3,3,2,1,5,1,3,3,2,2,3,3,3,2,2,2,2,1,2,2,1,4,3,2,3
41,1,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,1,1,1,1,2,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,2,4,1,2,2,2,1,4,5,1,5,2,1,2,2,5,4,1,3,2,2,2,4,3,2,2,1,1,1,1,1,2,1,1,1,1,1,3,5,1,1,1,1,2,3,1,2,1,1,1,1,3
43,1,2,2,2,2,2,3,2,2,3,2,3,2,1,2,2,2,1,1,2,2,2,2,2,4,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
44,1,2,2,2,3,3,2,3,2,3,2,2,2,3,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,3,1,1,3,1,1,1
45,1,4,2,4,3,4,2,3,4,5,4,3,3,4,2,3,4,5,1,2,3,1,2,2,3,3,1,1,3,2,1,1,2,3,5,4,3,4,3,2,4,2,2,3,4,4,2,2,4,2,2,1
45,3,3,3,5,2,2,3,3,4,2,4,2,2,4,1,4,3,1,1,2,3,2,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,1,1,1,1,2
46,2,3,3,2,2,2,2,2,4,2,3,2,3,2,2,4,1,2,1,2,2,2,1,2,2,3,1,1,2,2,1,3,1,2,2,1,3,2,2,2,3,2,1,1,1,1,2,2,2,2,2,2
47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,2,3,2,3,4,3,2,4,2,4,4,4,4,3,2,2,3,3,3,2,2,4,4,2,4
48,2,1,1,2,1,1,1,2,4,1,3,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,5,1,1,3,1,1,4,5,5,3,3,4,4,2,1
48,3,2,1,1,2,1,1,3,4,1,3,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,NA,NA,1,1,1,2,2,1,1,1,3,2,1,1
49,1,3,3,1,3,3,3,5,3,3,3,4,3,4,4,5,4,3,3,3,4,3,2,3,1,4,3,2,2,2,1,1,1,3,2,2,2,2,1,1,1,1,1,1,2,3,1,1,2,1,1,2
50,1,1,3,5,1,3,2,4,4,1,5,2,1,2,1,5,5,1,5,5,2,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,2,2,2,5,4,2,4,2,2,4,3,3,5,1,4,5,3,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2,4,4,5,4,3,4,4,5,3,5,2,3,4,2,5,5,4,5,4,4,4,5,4,3,3,2,1,2,2,1,2,1,2,3,2,5,2,3,2,2,1,1,2,3,1,4,1,3,1,1,3
52,3,3,4,4,3,2,3,3,5,2,5,3,3,4,2,5,3,2,2,2,2,3,2,2,2,3,1,1,1,1,2,1,1,1,1,1,3,1,3,2,1,1,1,2,4,1,2,2,2,1,1,3
53,1,4,1,4,2,2,1,3,4,1,3,3,2,2,2,3,3,1,2,2,1,1,2,1,3,3,2,2,2,1,1,2,1,1,2,1,1,3,1,4,2,1,1,1,3,4,1,1,3,2,2,3
53,3,4,4,4,3,4,2,5,4,2,3,4,3,4,3,3,2,3,2,5,3,1,2,2,2,3,3,2,3,2,1,1,1,3,3,2,3,4,2,2,3,2,3,4,1,3,2,2,3,1,3,2
54,2,2,4,3,3,4,2,4,3,2,4,4,2,4,2,2,2,2,2,2,4,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3
55,1,1,1,2,2,2,1,3,3,1,2,1,1,2,2,2,2,3,2,2,3,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
56,1,3,2,5,2,2,2,3,2,4,2,3,2,4,2,2,5,3,2,3,2,2,2,3,2,3,1,1,2,1,2,3,3,1,2,3,2,2,3,3,1,1,1,3,2,1,2,2,1,1,1,1
56,3,2,4,1,2,2,4,2,2,1,2,1,2,5,2,2,1,2,2,1,3,1,1,1,1,2,1,1,1,1,2,1,5,1,2,1,3,1,1,1,1,1,1,5,2,1,1,4,1,1,1,1
57,1,4,4,2,2,3,2,3,5,2,4,3,3,4,1,4,1,1,2,1,3,2,2,1,2,4,3,1,1,1,1,1,1,3,1,1,4,2,1,1,4,1,2,1,1,4,3,1,2,1,1,1
58,1,4,3,3,3,3,2,4,4,2,4,3,2,3,3,4,4,2,4,3,3,3,4,3,3,4,2,3,2,2,2,3,1,2,2,1,4,4,4,3,3,2,3,3,2,1,3,2,3,3,3,4
59,1,3,2,1,2,2,1,3,4,1,4,2,2,1,1,2,1,1,1,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,3,3,3,2,4,4,3,4,4,1,4,3,3,4,3,4,3,3,3,4,2,3,3,4,4,1,3,2,3,2,1,1,1,2,1,1,4,3,1,3,3,2,3,2,1,3,2,1,3,4,3,3
60,1,2,2,1,2,2,2,2,1,2,3,2,3,3,1,1,1,3,1,1,2,3,4,2,1,3,2,2,3,2,1,1,1,2,2,2,2,3,2,4,2,2,3,2,3,2,2,2,3,4,2,2
61,2,3,2,1,1,2,3,3,4,4,5,3,3,5,2,3,1,3,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,3
61,3,3,2,1,2,2,3,3,3,2,2,1,2,3,2,3,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,3,2,2,3,2,3,2,2,3
62,1,4,3,1,2,2,1,3,5,4,5,2,1,5,3,5,1,3,1,1,1,1,5,1,1,3,3,1,3,2,1,3,1,1,2,3,4,4,4,4,3,1,1,1,4,1,1,1,2,1,1,2
63,1,4,2,2,3,3,2,3,4,2,4,2,2,3,3,4,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2,3,2,3,3,3,4,2,2,3,2,3,3,3,4,3,3,3,2,2,2
64,1,5,3,1,5,4,4,3,5,2,5,3,3,4,3,5,1,2,4,4,3,5,5,3,3,5,2,1,1,1,1,2,1,1,4,1,1,3,3,2,2,1,1,3,2,4,2,1,3,2,1,2
65,1,4,1,2,3,2,1,2,4,2,4,2,3,3,2,3,2,1,1,1,1,1,3,1,2,2,2,2,2,2,2,1,1,1,2,2,4,2,2,3,2,3,2,1,3,3,1,1,3,3,2,2
66,1,3,2,2,2,5,3,4,5,1,3,3,2,4,3,3,1,3,1,2,4,1,2,2,5,4,1,1,2,1,1,3,1,1,1,3,4,2,1,3,4,NA,2,5,3,5,3,1,5,2,1,4
67,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1,4,2,3,3,3,2,3,5,2,5,1,1,4,2,4,3,3,4,4,3,2,5,2,1,4,4,3,3,3,1,2,1,2,5,1,1,4,4,3,5,1,1,1,1,3,3,1,4,3,3,5
69,2,1,1,2,1,2,1,3,1,1,2,2,2,2,1,2,3,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1,2,2,1,4,3,3,3,5,2,4,2,3,3,2,4,1,1,3,2,4,3,4,2,3,4,2,1,2,1,2,1,2,1,3,1,2,3,3,3,2,1,2,2,1,4,3,1,3,1,1,3
71,1,5,3,2,4,3,1,4,5,3,5,3,2,3,3,5,3,1,4,3,2,5,5,2,4,2,3,4,3,5,4,5,3,1,4,5,4,2,5,5,1,4,2,5,4,2,3,3,4,3,2,3
72,2,4,2,2,4,4,2,4,4,1,4,1,1,4,1,4,1,1,4,2,2,1,5,1,2,2,1,1,2,2,1,3,1,2,4,3,4,2,1,4,2,1,1,4,2,2,4,2,4,2,2,2
73,1,5,3,3,5,3,3,2,5,1,5,3,3,3,3,5,4,3,4,4,3,3,5,3,3,5,3,3,2,2,3,3,2,2,4,1,4,3,4,3,5,3,2,4,4,3,3,3,3,3,3,5
74,2,2,1,3,1,2,1,3,4,1,5,1,1,3,2,4,2,1,1,3,1,1,5,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,2,1,1,1,3,1,1,1
75,1,5,4,3,3,4,3,3,5,5,3,4,3,4,4,4,3,4,3,3,2,2,4,3,3,4,2,2,2,2,3,2,2,2,1,2,3,3,1,1,2,1,1,1,1,1,2,1,1,2,1,2
76,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,3,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,1,3,2,1,3,3,2,2,3,3,2,2,2,2,2,3,1,2,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,5,3,2,3,2,3,4,5,3,4,3,4,4,2,4,3,4,1,3,4,4,3,3,3,5,2,2,4,2,1,5,1,2,4,2,2,5,3,4,3,1,1,4,2,3,1,1,3,2,1,4
79,1,4,2,5,4,3,2,5,5,3,5,5,4,4,3,5,5,3,1,5,3,5,4,4,3,2,3,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1
80,1,5,3,2,3,3,2,3,5,3,5,5,4,4,5,5,1,2,4,2,5,1,5,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,2
81,3,4,4,5,3,2,4,5,3,3,NA,2,1,3,2,5,4,4,4,5,4,2,2,2,2,2,4,3,2,2,1,2,1,3,5,2,4,4,2,3,4,2,4,1,1,2,2,2,2,2,3,3
82,3,3,3,2,2,3,1,3,2,2,2,1,2,4,2,1,2,3,1,2,3,4,4,2,2,5,2,2,2,2,1,4,1,2,3,2,2,3,3,3,2,1,1,1,1,3,2,2,3,2,2,3
83,3,3,1,1,2,2,1,2,3,1,3,1,1,2,2,3,1,1,3,2,1,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
84,2,4,3,3,3,4,2,3,5,2,5,1,3,3,2,5,3,2,3,2,2,4,3,1,1,2,2,2,3,2,1,2,1,2,2,2,1,3,1,1,2,1,1,4,2,2,5,2,1,2,1,1
85,1,3,5,2,2,2,3,3,3,1,1,2,2,2,1,2,2,1,1,2,3,2,2,2,2,4,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
86,2,2,2,3,4,2,2,3,3,3,3,1,3,4,1,3,3,2,3,3,2,2,2,3,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2
87,2,4,2,2,2,3,3,3,4,1,4,1,2,3,1,3,2,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,5,1,2,1,3,3,1,2,2,2,1,1,2,4,1,1,3,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,2,1,1,5,1,1,1,1
89,2,2,3,2,3,3,3,4,2,1,2,2,2,3,2,3,2,3,3,3,2,2,2,1,3,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3,1,2,1,3,2,2,2,3,2,2,1
90,1,4,3,1,3,2,4,4,5,2,5,2,5,5,1,5,1,3,5,2,3,2,5,2,1,5,1,1,1,1,1,5,1,1,4,1,3,2,4,1,1,1,1,1,1,1,1,1,4,1,1,5
91,2,2,2,3,4,2,2,4,5,1,5,1,3,3,2,4,2,1,3,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,3,4,3,3,3,3,2,3,4,1,5,2,2,3,2,4,2,1,3,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,1,1,1,2,1,2,1,1,1
92,1,3,4,1,3,2,1,4,4,1,1,2,4,1,1,1,1,1,3,1,1,1,4,2,1,2,1,1,1,1,3,1,5,1,1,1,4,1,1,1,1,1,1,1,4,1,5,1,1,1,1,1
93,2,1,3,2,2,4,1,4,3,1,1,3,2,3,2,2,3,4,1,1,2,1,3,1,1,1,1,1,2,2,1,2,1,2,1,1,5,2,1,1,1,2,1,3,5,1,3,1,3,1,1,3
94,1,4,2,4,4,2,3,4,4,1,3,1,1,4,2,3,4,1,4,4,3,4,4,3,2,4,2,1,2,2,2,3,5,1,4,2,4,2,3,4,2,1,1,3,3,1,4,2,4,1,1,4
95,2,1,1,1,1,1,1,2,5,1,5,1,2,2,1,5,1,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,1,4,1,3,1,1,1
96,3,5,3,5,4,4,2,5,5,4,5,4,5,5,3,5,5,2,5,5,4,5,4,3,2,3,2,1,2,1,2,3,2,1,4,1,3,3,3,4,5,1,1,4,2,2,3,2,4,1,1,3
97,1,3,2,2,2,3,2,4,4,2,4,3,2,2,3,4,2,3,2,2,3,2,3,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,2,5,2,1,3,3,2,4,5,2,5,2,4,2,4,5,NA,3,3,2,4,2,4,2,4,3,2,2,2,2,3,3,2,2,2,2,2,4,4,2,3,2,2,2,2,2,3,3,3,2,2,2
99,2,1,2,1,2,3,1,3,3,1,3,1,1,3,2,2,1,1,3,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,3,3,2,2,2,1,1,2,2,2,1,2,NA,3,1,1
100,1,3,3,2,3,3,3,2,4,1,4,3,1,4,2,4,1,2,1,1,3,1,4,1,2,2,3,3,4,3,3,2,3,3,3,3,2,4,2,2,3,2,2,2,3,3,3,2,2,3,3,2
101,1,5,3,3,3,3,3,3,5,2,5,3,5,3,2,5,3,2,4,3,3,3,3,3,2,5,2,2,2,2,1,3,1,2,3,1,3,4,4,4,2,2,2,4,2,3,2,2,2,4,2,4
102,2,5,4,4,4,4,3,4,4,2,4,4,5,5,3,5,4,2,4,4,4,4,4,3,3,4,2,2,3,3,2,3,2,3,5,4,3,4,4,5,4,2,3,2,2,NA,4,3,3,3,2,3
102,3,4,3,3,3,3,2,4,4,2,4,3,3,4,3,4,4,3,3,3,3,2,3,2,2,4,2,1,3,2,2,3,2,1,4,2,4,3,3,4,3,1,1,2,2,4,3,2,3,1,1,3
103,3,3,4,5,5,4,4,3,4,3,2,4,2,5,1,3,4,3,1,4,4,3,1,1,3,5,3,1,3,3,1,4,1,1,3,1,4,1,3,4,1,1,1,1,3,1,1,2,5,1,1,3
104,1,4,1,3,3,3,1,4,5,1,5,4,3,4,1,4,3,1,1,3,1,4,3,3,2,2,1,1,1,1,1,1,1,1,4,3,3,2,1,1,3,1,1,1,1,3,4,1,1,1,1,1
105,3,3,3,4,2,2,3,4,4,2,4,3,3,4,1,4,4,2,4,3,3,2,3,3,2,3,2,2,2,1,1,2,1,2,3,2,2,2,3,2,1,1,1,2,2,2,2,1,3,2,1,3
106,1,3,2,3,3,2,3,4,4,2,4,2,2,2,2,4,4,2,4,2,3,3,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2
107,1,1,2,1,1,1,1,2,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
108,2,2,1,1,1,2,1,2,4,2,4,2,2,3,2,4,1,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1
109,1,4,2,3,3,2,1,2,5,1,3,2,2,3,3,4,4,3,1,3,3,3,3,3,3,4,1,1,2,1,1,4,1,2,5,1,4,2,4,4,4,1,2,2,4,3,1,1,4,3,1,2
110,1,4,3,2,3,4,3,5,5,3,5,4,5,5,3,4,3,4,5,3,4,2,3,2,3,4,2,1,3,2,2,3,1,2,3,2,2,2,3,3,4,2,2,3,2,3,2,2,4,2,2,3
